,coef,OR,p,se
feature_051,-0.3809862514339212,0.6831872824008273,1.9562640981735537e-95,0.018380699060787035
feature_013,-0.30167776484143105,0.7395763439969988,1.7288521392015953e-34,0.024631434889767188
feature_011,-0.03939643045832677,0.9613695174349384,1.8272501361684066e-33,0.0032680808220478244
Intercept,-1.3556199194395866,0.2577874374639528,1.102710840411555e-22,0.13829895582952945
feature_067,-0.2591407041717365,0.771714431964307,4.407746608981919e-19,0.029031372959889928
feature_006,0.1303421022293659,1.139218045701806,1.7889658137470444e-06,0.027291575415501472
feature_099,0.09258924919933707,1.097011044548747,0.00011963172635590462,0.024068663205589296
feature_063,-0.00503907851661577,0.9949735963407284,0.0005060471767654146,0.0014490375133121686
feature_007,0.07987680015203358,1.0831536150937546,0.0009527755402708695,0.0241749630457492
feature_039,0.07662911080224959,1.0796415747288117,0.0014801975882276748,0.024108287579411535
feature_092,0.17395387455877626,1.1900006752482442,0.0021915213920837766,0.056792552034770946
feature_076,0.09887382558589246,1.103927003428388,0.021295388884889792,0.04293810171216694
feature_112,-0.10122837199864623,0.9037266234624649,0.028846203569410183,0.04631643828029141
feature_033,-0.02214358822197047,0.9780997813591883,0.04252552572502828,0.010917097055073571
feature_021,-0.06014315027986272,0.9416297293765615,0.05783993169977093,0.03170586782187674
C(feature_123)[T.white],-0.07637948005224601,0.926464565021589,0.13212621997753213,0.05072453205989148
C(feature_043)[T.squamous],0.03954650010402736,1.0403388736260812,0.1564483768751963,0.027906282302271483
C(feature_123)[T.hispanic],-0.03920961163687026,0.9615491361327241,0.495985348895265,0.0575917387758581
C(feature_123)[T.other],0.047537911799246026,1.0486859579391636,0.6165555032578761,0.09493569266724662
C(feature_057)[T.former],0.01286669699240574,1.0129498291007448,0.6496345050852022,0.02832389760171728
C(feature_057)[T.never],0.014251203791574346,1.0143532363155892,0.7302363227329813,0.04133045664860031
feature_078,0.0003352649315151136,1.0003353211390835,0.7818736518372467,0.001210875259546402
C(feature_123)[T.black],0.005526592388616235,1.005541892172569,0.9256658237316505,0.05923511794469081
