a,b,coef,p_value,OR
feature_007,feature_092,0.6168197845130554,6.109940727519643e-08,1.8530256405272163
feature_039,feature_092,0.5956277227386678,1.5990094266252868e-07,1.8141693829845515
feature_006,feature_092,0.5973305474788618,1.2728782027690725e-06,1.817261227180099
feature_006,feature_039,0.1760958361482379,0.0007996506363519337,1.1925523427974116
feature_007,feature_039,0.14475007676561855,0.002751642133007955,1.1557506852205937
feature_006,feature_007,0.1543676999129449,0.0033133766547763844,1.1669198842422905
feature_013,feature_092,0.24669423687718994,0.03343414260203861,1.2797877410515606
feature_063,feature_092,0.014009495543601123,0.040619408781659275,1.0141080884003435
feature_099,feature_063,-0.004983774236357279,0.08599373503328304,0.9950286241609732
feature_007,feature_051,0.055560741180345416,0.13141918113155693,1.0571332266422893
feature_013,feature_039,0.07326680399642277,0.13660315129031528,1.0760175844120332
feature_013,feature_007,0.06968397949074377,0.15811999899152773,1.0721693002220936
feature_006,feature_011,0.009611452468154922,0.17375413814538088,1.009657790818059
feature_013,feature_006,-0.07051274142223372,0.18762783021686313,0.9319158655166258
feature_039,feature_063,0.0037961918845324702,0.1909153605179983,1.0038034065474708
feature_007,feature_011,-0.008461778555362832,0.19677287338342697,0.9915739215264365
feature_013,feature_063,0.0037870733457821544,0.2069001951122258,1.0037942533689423
feature_006,feature_063,-0.0038652592417575287,0.23059231320221474,0.9961422012573957
feature_067,feature_007,0.0669729505892695,0.24927503819936692,1.0692665547532012
feature_067,feature_092,0.14526665213589296,0.28638945813845507,1.1563478717914135
feature_006,feature_099,-0.05572326178859048,0.2893300593992898,0.9458008389096229
feature_006,feature_051,0.039302518670405594,0.32388504137040597,1.0400850812178184
feature_039,feature_051,-0.03426107628576758,0.350889626175492,0.9663191886774372
feature_051,feature_011,-0.003363951434910401,0.5027157335145758,0.9966417003105426
feature_013,feature_011,-0.00440903983484552,0.5080019342767143,0.9956006657120002
feature_013,feature_067,0.03897813231795726,0.5111514488668072,1.0397477465284288
feature_011,feature_092,0.00994777357773782,0.5174180050238883,1.009997417155118
feature_039,feature_011,0.00393118247249972,0.5473489077677793,1.0039389197058188
feature_067,feature_006,0.03710918576327056,0.5551678806567686,1.0378063283283476
feature_007,feature_063,-0.0015579887644780412,0.5904392806185834,0.9984432242699706
feature_051,feature_099,-0.017007463334960858,0.6442796685971433,0.9831363471316578
feature_067,feature_039,-0.026273894900570215,0.6506642653725154,0.9740682607394603
feature_099,feature_092,-0.04978675338542597,0.6597583011065635,0.9514322925848693
feature_051,feature_063,0.0009640773202274149,0.6619104028597784,1.000964542192146
feature_067,feature_051,-0.01736738103191436,0.6957247639047786,0.982782562632277
feature_067,feature_063,0.001242060749123032,0.7136000931651023,1.001242832426032
feature_013,feature_051,0.01257484861708269,0.7374787758218939,1.0126542444738826
feature_067,feature_099,-0.011111344911423852,0.8464758733310295,0.9889501580770391
feature_051,feature_092,-0.016165303896565255,0.8514045024200559,0.9839646534196484
feature_039,feature_099,-0.006073902817042221,0.8995034000325456,0.9939445060406116
feature_067,feature_011,0.0009786184773857348,0.9013091852982681,1.000979097480689
feature_011,feature_099,0.0007840872602621292,0.9043057866782998,1.0007843947370356
feature_011,feature_063,4.2747144656672704e-05,0.9144138677142201,1.000042748058329
feature_007,feature_099,-0.0006388611732170265,0.9894410218300276,0.9993613428551313
feature_013,feature_099,0.0005905695545172278,0.9904154764863252,1.0005907439750508
