feature,beta_int,p_int
feature_076,-0.10678810651199411,0.10242601310790822
feature_032,-0.07379782480039772,0.10389645835278435
feature_112,-0.10263172322579915,0.14937269102332282
feature_007,0.049928752941747305,0.173482487762756
feature_006,0.040037079240151846,0.3130049400748458
feature_039,-0.03643144511839479,0.3192052368304724
feature_011,-0.013161775548989979,0.49672684068956974
feature_063,0.008555216200546716,0.6682833244889689
feature_067,-0.018742743844299158,0.6720101394994289
feature_099,-0.006425039897942222,0.7267906297712978
feature_013,0.012980968020516587,0.7286252567649545
feature_100,0.029771373802538123,0.810519833583212
feature_092,-0.0035329606071510264,0.8460887765714775
feature_021,0.007231878417123874,0.8807242788284195
